season,week,n_elim,elim_rank,elim_percent,flip
16,6,1,Victor Ortiz,Victor Ortiz,False
16,7,1,Andy Dick,Andy Dick,False
16,8,1,Sean Lowe,Sean Lowe,False
16,9,1,Ingo Rademacher,Ingo Rademacher,False
16,10,1,Alexandra Raisman,Alexandra Raisman,False
17,2,1,Keyshawn Johnson,Keyshawn Johnson,False
17,3,1,Bill Nye,Bill Nye,False
17,4,1,Valerie Harper,Valerie Harper,False
17,5,1,Leah Remini,Christina Milian,True
17,7,1,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",False
17,8,1,Brant Daugherty,Brant Daugherty,False
17,9,1,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,False
17,10,1,Leah Remini,Leah Remini,False
17,11,1,Bill Engvall,Bill Engvall,False
18,2,2,Diana Nyad;Sean Avery,Diana Nyad;Sean Avery,False
18,5,1,Cody Simpson,Cody Simpson,False
18,6,1,Drew Carey,Drew Carey,False
18,7,1,NeNe Leakes,NeNe Leakes,False
18,8,1,Danica McKellar,Danica McKellar,False
18,9,1,Charlie White,Charlie White,False
18,10,1,James Maslow,James Maslow,False
19,1,1,Lolo Jones,Lolo Jones,False
19,2,1,Tavis Smiley,Tavis Smiley,False
19,3,1,Randy Couture,Randy Couture,False
19,4,1,Betsey Johnson,Betsey Johnson,False
19,6,1,Jonathan Bennett,Jonathan Bennett,False
19,7,1,Antonio Sabato Jr.,Antonio Sabato Jr.,False
19,8,1,Michael Waltrip,Michael Waltrip,False
19,9,1,Lea Thompson,Lea Thompson,False
19,10,1,Tommy Chong,Tommy Chong,False
19,11,1,Bethany Mota,Bethany Mota,False
20,2,1,Redfoo,Redfoo,False
20,3,1,Charlotte McKinney,Charlotte McKinney,False
20,4,1,Michael Sam,Michael Sam,False
20,5,1,Suzanne Somers,Suzanne Somers,False
20,6,1,Patti LaBelle,Patti LaBelle,False
20,7,1,Willow Shields,Willow Shields,False
20,8,2,Chris Soules;Robert Herjavec,Chris Soules;Robert Herjavec,False
20,9,1,Rumer Willis,Nastia Liukin,True
21,2,2,Chaka Khan;Victor Espinoza,Chaka Khan;Victor Espinoza,False
21,4,1,Gary Busey,Gary Busey,False
21,6,1,Paula Deen,Paula Deen,False
21,7,1,Hayes Grier,Hayes Grier,False
21,8,1,Andy Grammer,Andy Grammer,False
21,9,1,Alek Skarlatos,Alexa PenaVega,True
21,11,1,Carlos PenaVega,Carlos PenaVega,False
22,2,1,Geraldo Rivera,Geraldo Rivera,False
22,3,1,Mischa Barton,Mischa Barton,False
22,4,1,Marla Maples,Marla Maples,False
22,6,1,Doug Flutie,Doug Flutie,False
22,7,2,Kim Fields;Von Miller,Kim Fields;Von Miller,False
22,8,1,Antonio Brown,Jodie Sweetin,True
22,9,2,Antonio Brown;Ginger Zee,Antonio Brown;Wanya Morris,True
23,2,1,Jake T. Austin,Jake T. Austin,False
23,3,1,Rick Perry,Rick Perry,False
23,4,2,Babyface;Vanilla Ice,Babyface;Vanilla Ice,False
23,6,1,Amber Rose,Amber Rose,False
23,7,1,Maureen McCormick,Maureen McCormick,False
23,8,1,Ryan Lochte,Ryan Lochte,False
23,9,1,Marilu Henner,Marilu Henner,False
23,10,1,Calvin Johnson Jr.,Terra Jole,True
23,11,1,Jana Kramer,Jana Kramer,False
24,2,1,Chris Kattan,Chris Kattan,False
24,3,1,Charo,Charo,False
24,4,1,Mr. T,Mr. T,False
24,5,1,Erika Jayne,Erika Jayne,False
24,6,1,Nick Viall,Heather Morris,True
24,7,2,Nancy Kerrigan;Nick Viall,Nancy Kerrigan;Nick Viall,False
24,8,1,Bonner Bolton,Bonner Bolton,False
24,9,1,Normani,Simone Biles,True
25,2,2,Barbara Corcoran;Debbie Gibson,Barbara Corcoran;Debbie Gibson,False
25,4,1,Derek Fisher,Derek Fisher,False
25,5,1,Sasha Pieterse,Sasha Pieterse,False
25,6,1,Nick Lachey,Nick Lachey,False
25,7,2,Nikki Bella;Vanessa Lachey,Nikki Bella;Vanessa Lachey,False
25,8,1,Terrell Owens,Terrell Owens,False
25,9,1,Victoria Arlen,Victoria Arlen,False
25,10,1,Drew Scott,Drew Scott,False
26,1,2,Jamie Anderson;Johnny Damon,Jamie Anderson;Johnny Damon,False
26,2,2,Arike Ogunbowale;Kareem Abdul-Jabbar,Arike Ogunbowale;Kareem Abdul-Jabbar,False
26,3,3,Chris Mazdzer;Jennie Finch Daigle;Mirai Nagasu,Chris Mazdzer;Jennie Finch Daigle;Mirai Nagasu,False
27,1,1,Nikki Glaser,Nikki Glaser,False
27,2,1,Danelle Umstead,Danelle Umstead,False
27,3,1,Nancy McKeon,Nancy McKeon,False
27,4,1,Tinashe,Tinashe,False
27,6,1,Mary Lou Retton,Mary Lou Retton,False
27,7,2,DeMarcus Ware;John Schneider,DeMarcus Ware;John Schneider,False
27,8,2,Joe Amabile;Juan Pablo Di Pace,Joe Amabile;Juan Pablo Di Pace,False
28,2,1,Mary Wilson,Mary Wilson,False
28,4,1,Lamar Odom,Lamar Odom,False
28,6,1,Kel Mitchell,Sailor Brinkley-Cook,True
28,7,1,Karamo Brown,Karamo Brown,False
28,8,1,Kate Flannery,Kate Flannery,False
28,9,1,James Van Der Beek,James Van Der Beek,False
28,10,1,James Van Der Beek,James Van Der Beek,False
29,2,1,Charles Oakley,Charles Oakley,False
29,3,1,Carole Baskin,Carole Baskin,False
29,4,1,Anne Heche,Anne Heche,False
29,5,1,Jesse Metcalfe,Jesse Metcalfe,False
29,6,1,Veron Davis,Veron Davis,False
29,7,1,Monica Aldama,Monica Aldama,False
29,8,1,Chrishell Stause,Chrishell Stause,False
29,9,1,AJ McLean,AJ McLean,False
29,10,2,Johnny Weir;Skai Jackson,Johnny Weir;Skai Jackson,False
30,2,1,Martin Kove,Martin Kove,False
30,3,1,Christine Chiu,Christine Chiu,False
30,4,2,Brian Austin Green;Matt James,Brian Austin Green;Matt James,False
30,5,1,"Mike ""The Miz"" Mizanin",Melanie C,True
30,6,1,Kenya Moore,Kenya Moore,False
30,7,1,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",False
30,8,2,Jimmie Allen;Olivia Jade,Jimmie Allen;Olivia Jade,False
30,9,2,Melora Hardin;Suni Lee,Melora Hardin;Suni Lee,False
31,1,1,Jason Lewis,Jason Lewis,False
31,2,1,Teresa Giudice,Teresa Giudice,False
31,3,1,Cheryl Ladd,Cheryl Ladd,False
31,4,1,Sam Champion,Sam Champion,False
31,5,1,Joseph Baena,Joseph Baena,False
31,6,1,Jessie James Decker,Jessie James Decker,False
31,7,1,Jordin Sparks,Jordin Sparks,False
31,8,2,Heidi D'Amelio;Vinny Guadagnino,Heidi D'Amelio;Vinny Guadagnino,False
31,9,2,Daniel Durant;Trevor Donovan,Charli D'Amelio;Daniel Durant,True
32,1,1,Matt Walsh,Matt Walsh,False
32,2,1,Jamie Lynn Spears,Jamie Lynn Spears,False
32,3,1,Tyson Beckford,Tyson Beckford,False
32,4,1,Adrian Peterson,Adrian Peterson,False
32,5,1,Mira Sorvino,Mira Sorvino,False
32,6,1,Mauricio Umansky,Mauricio Umansky,False
32,7,1,Lele Pons,Lele Pons,False
32,8,1,Barry Williams,Xochitl Gomez,True
32,9,1,Ariana Madix,Xochitl Gomez,True
33,2,2,Anna Delvey;Tori Spelling,Anna Delvey;Tori Spelling,False
33,3,2,Eric Roberts;Reginald VelJohnson,Eric Roberts;Reginald VelJohnson,False
33,4,1,Brooks Nader,Brooks Nader,False
33,5,1,Phaedra Parks,Phaedra Parks,False
33,6,1,Jenn Tran,Jenn Tran,False
33,7,1,Dwight Howard ,Joey Graziadei,True
34,2,2,Baron Davis;Corey Feldman,Baron Davis;Corey Feldman,False
34,3,1,Lauren Jauregui,Lauren Jauregui,False
34,4,1,Hilaria Baldwin,Hilaria Baldwin,False
34,6,1,Scott Hoying,Scott Hoying,False
34,7,1,Jen Affleck,Jen Affleck,False
34,8,1,Danielle Fishel,Danielle Fishel,False
34,9,1,Jordan Chiles,Whitney Leavitt,True
34,10,1,Whitney Leavitt,Whitney Leavitt,False
