season,week,voting_method,consistent,message,error
10,5,percent,True,consistent,
10,6,percent,True,consistent,
10,7,percent,True,consistent,
10,8,percent,True,consistent,
10,9,percent,True,consistent,
11,1,percent,True,consistent,
11,2,percent,True,consistent,
11,3,percent,True,consistent,
11,4,percent,True,consistent,
11,5,percent,True,consistent,
11,6,percent,True,consistent,
11,7,percent,True,consistent,
11,8,percent,True,consistent,
11,9,percent,True,consistent,
12,2,percent,True,consistent,
12,3,percent,True,consistent,
12,4,percent,True,consistent,
12,5,percent,True,consistent,
12,6,percent,True,consistent,
12,7,percent,True,consistent,
12,8,percent,True,consistent,
12,9,percent,True,consistent,
13,1,percent,True,consistent,
13,2,percent,True,consistent,
13,3,percent,True,consistent,
13,4,percent,True,consistent,
13,5,percent,True,consistent,
13,6,percent,True,consistent,
13,7,percent,True,consistent,
13,8,percent,True,consistent,
13,9,percent,True,consistent,
14,2,percent,True,consistent,
14,3,percent,True,consistent,
14,4,percent,True,consistent,
14,5,percent,True,consistent,
14,6,percent,True,consistent,
14,7,percent,True,consistent,
14,8,percent,True,consistent,
14,9,percent,True,consistent,
15,1,percent,True,consistent,
15,2,percent,True,consistent,
15,3,percent,True,consistent,
15,4,percent,True,consistent,
15,6,percent,True,consistent,
15,8,percent,True,consistent,
15,9,percent,True,consistent,
16,3,percent,True,consistent,
16,4,percent,True,consistent,
16,5,percent,True,consistent,
16,6,percent,True,consistent,
16,7,percent,True,consistent,
16,8,percent,True,consistent,
16,9,percent,True,consistent,
16,10,percent,True,consistent,
17,2,percent,True,consistent,
17,3,percent,True,consistent,
17,4,percent,True,consistent,
17,5,percent,True,consistent,
17,7,percent,True,consistent,
17,8,percent,True,consistent,
17,9,percent,True,consistent,
17,10,percent,True,consistent,
17,11,percent,True,consistent,
18,2,percent,True,consistent,
18,5,percent,True,consistent,
18,6,percent,True,consistent,
18,7,percent,True,consistent,
18,8,percent,True,consistent,
18,9,percent,True,consistent,
18,10,percent,True,consistent,
19,1,percent,True,consistent,
19,2,percent,True,consistent,
19,3,percent,True,consistent,
19,4,percent,True,consistent,
19,6,percent,True,consistent,
19,7,percent,True,consistent,
19,8,percent,True,consistent,
19,9,percent,True,consistent,
19,10,percent,True,consistent,
19,11,percent,True,consistent,
20,2,percent,True,consistent,
20,3,percent,True,consistent,
20,4,percent,True,consistent,
20,5,percent,True,consistent,
20,6,percent,True,consistent,
20,7,percent,True,consistent,
20,8,percent,True,consistent,
20,9,percent,True,consistent,
21,2,percent,True,consistent,
21,4,percent,True,consistent,
21,6,percent,True,consistent,
21,7,percent,True,consistent,
21,8,percent,True,consistent,
21,9,percent,True,consistent,
21,11,percent,True,consistent,
22,2,percent,True,consistent,
22,3,percent,True,consistent,
22,4,percent,True,consistent,
22,6,percent,True,consistent,
22,7,percent,True,consistent,
22,8,percent,True,consistent,
22,9,percent,True,consistent,
23,2,percent,True,consistent,
23,3,percent,True,consistent,
23,4,percent,True,consistent,
23,6,percent,True,consistent,
23,7,percent,True,consistent,
23,8,percent,True,consistent,
23,9,percent,True,consistent,
23,10,percent,True,consistent,
23,11,percent,True,consistent,
24,2,percent,True,consistent,
24,3,percent,True,consistent,
24,4,percent,True,consistent,
24,5,percent,True,consistent,
24,6,percent,True,consistent,
24,7,percent,True,consistent,
24,8,percent,True,consistent,
24,9,percent,True,consistent,
25,2,percent,True,consistent,
25,4,percent,True,consistent,
25,5,percent,True,consistent,
25,6,percent,True,consistent,
25,7,percent,True,consistent,
25,8,percent,True,consistent,
25,9,percent,True,consistent,
25,10,percent,True,consistent,
26,1,percent,True,consistent,
26,2,percent,True,consistent,
26,3,percent,True,consistent,
27,1,percent,True,consistent,
27,2,percent,True,consistent,
27,3,percent,True,consistent,
27,4,percent,True,consistent,
27,6,percent,True,consistent,
27,7,percent,True,consistent,
27,8,percent,True,consistent,
28,2,rank,True,consistent,
28,4,rank,True,consistent,
28,6,rank,True,consistent,
28,7,rank,True,consistent,
28,8,rank,True,consistent,
28,9,rank,True,consistent,
28,10,rank,True,consistent,
29,2,rank,True,consistent,
29,3,rank,True,consistent,
29,4,rank,True,consistent,
29,5,rank,True,consistent,
29,6,rank,True,consistent,
29,7,rank,True,consistent,
29,8,rank,True,consistent,
29,9,rank,True,consistent,
29,10,rank,True,consistent,
30,2,rank,True,consistent,
30,3,rank,True,consistent,
30,4,rank,True,consistent,
30,5,rank,True,consistent,
30,6,rank,True,consistent,
30,7,rank,True,consistent,
30,8,rank,True,consistent,
30,9,rank,True,consistent,
31,1,rank,True,consistent,
31,2,rank,True,consistent,
31,3,rank,True,consistent,
31,4,rank,True,consistent,
31,5,rank,True,consistent,
31,6,rank,True,consistent,
31,7,rank,True,consistent,
31,8,rank,True,consistent,
31,9,rank,True,consistent,
32,1,rank,True,consistent,
32,2,rank,True,consistent,
32,3,rank,True,consistent,
32,4,rank,True,consistent,
32,5,rank,True,consistent,
32,6,rank,True,consistent,
32,7,rank,True,consistent,
32,8,rank,True,consistent,
32,9,rank,False,pred_bottom_k_{5},
33,2,rank,True,consistent,
33,3,rank,True,consistent,
33,4,rank,True,consistent,
33,5,rank,True,consistent,
33,6,rank,True,consistent,
33,7,rank,True,consistent,
34,2,rank,True,consistent,
34,3,rank,True,consistent,
34,4,rank,True,consistent,
34,6,rank,True,consistent,
34,7,rank,True,consistent,
34,8,rank,True,consistent,
34,9,rank,True,consistent,
34,10,rank,True,consistent,
